,text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
3569,RT @insan_parmjot: @Gurmeetramrahim ji @narendramodi Wow.. I too went Early morning today to celebrate #InternationalYogaDay @insan_honey,FALSE,0,NA,6/21/2017 12:22,FALSE,NA,8.80401E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",AnitaG29709710,34,TRUE,FALSE,NA,NA
3570,RT @kavita_insan: <ed><U+00A0><U+00BC><ed><U+00BC><U+00B9><ed><U+00A0><U+00BC><ed><U+00BC><U+00B9><ed><U+00A0><U+00BC><ed><U+00BC><U+00B9><ed><U+00A0><U+00BC><ed><U+00BC><U+00B9>Good Morning Almighty<ed><U+00A0><U+00BC><ed><U+00BC><U+00BC><ed><U+00A0><U+00BC><ed><U+00BC><U+00BC><ed><U+00A0><U+00BC><ed><U+00BC><U+00BC><ed><U+00A0><U+00BC><ed><U+00BC><U+00B7><ed><U+00A0><U+00BC><ed><U+00BC><U+00B7><ed><U+00A0><U+00BC><ed><U+00BC><U+00B7> <ed><U+00A0><U+00BC><ed><U+00BC><U+00B8><ed><U+00A0><U+00BC><ed><U+00BC><U+00B8>@Gurmeetramrahim<ed><U+00A0><U+00BD><ed><U+00B2><U+0090><ed><U+00A0><U+00BD><ed><U+00B2><U+0090><ed><U+00A0><U+00BD><ed><U+00B2><U+0090><ed><U+00A0><U+00BD><ed><U+00B2><U+0090><ed><U+00A0><U+00BD><ed><U+00B2><U+0090><ed><U+00A0><U+00BD><ed><U+00B2><U+0090> @narendramodi  #InternationalYogaDay,FALSE,0,NA,6/21/2017 12:22,FALSE,NA,8.80401E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",AnitaG29709710,46,TRUE,FALSE,NA,NA
3571,RT @Rekhain07873617: @Gurmeetramrahim @narendramodi Yoga is the key <ed><U+00A0><U+00BD><ed><U+00B4><U+0091> of fitness #InternationalYogaDay https://t.co/T3q1skN7wn,FALSE,0,NA,6/21/2017 12:22,FALSE,NA,8.80401E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",AnitaG29709710,128,TRUE,FALSE,NA,NA
3572,"RT @rameshchahal: @Gurmeetramrahim @narendramodi #InternationalYogaDay 
Wish u all very happy International Day Of Yoga.Inspired by Dr.MSG.…",FALSE,0,NA,6/21/2017 12:22,FALSE,NA,8.80401E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",AnitaG29709710,203,TRUE,FALSE,NA,NA
3573,RT @Gurmeetramrahim: Four Generations of my family came together to celebrate #InternationalYogaDay. Huge applaud to PM @narendramodi Ji fo…,FALSE,0,NA,6/21/2017 12:21,FALSE,NA,8.80401E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",AnitaG29709710,31884,TRUE,FALSE,NA,NA
3574,"RT @preety799: @Gurmeetramrahim Ji papa ji v will follow your advice.
#InternationalYogaDay",FALSE,0,NA,6/21/2017 12:21,FALSE,NA,8.80401E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",AnitaG29709710,535,TRUE,FALSE,NA,NA
3575,"RT @preety799: @Gurmeetramrahim By doing yoga v can increase our memory power &amp; can attain inner peace.
#InternationalYogaDay",FALSE,0,NA,6/21/2017 12:21,FALSE,NA,8.80401E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",AnitaG29709710,493,TRUE,FALSE,NA,NA
3576,RT @PapaPrincess_18: @Gurmeetramrahim Yes papa g by doing YOGA we can increase our memory power....<ed><U+00A0><U+00BD><ed><U+00B9><U+008F><ed><U+00A0><U+00BD><ed><U+00B9><U+008F> #InternationalYogaDay,FALSE,0,NA,6/21/2017 12:21,FALSE,NA,8.80401E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",AnitaG29709710,189,TRUE,FALSE,NA,NA
3577,RT @PapaPrincess_18: @Gurmeetramrahim G papa g i follow ur pious advice <ed><U+00A0><U+00BD><ed><U+00B8><U+0087><ed><U+00A0><U+00BD><ed><U+00B8><U+0087> #InternationalYogaDay,FALSE,0,NA,6/21/2017 12:21,FALSE,NA,8.80401E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",AnitaG29709710,192,TRUE,FALSE,NA,NA
3578,RT @kunalchauhan411: @Gurmeetramrahim Grand<ed><U+00A0><U+00BD><ed><U+00B9><U+008C> Salute<ed><U+00A0><U+00BD><ed><U+00B9><U+008B> to our PAPA COACH #InternationalYogaDay https://t.co/kDVC9os7mw,FALSE,0,NA,6/21/2017 12:21,FALSE,NA,8.80401E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",AnitaG29709710,256,TRUE,FALSE,NA,NA
